Orario,Log
2025-12-10 21:45:55,tuttoCompreso.py/ 🚀 Avvio pulisciCartelle()...
2025-12-10 21:45:55,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/PagineHtml
2025-12-10 21:45:55,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:45:55,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-10 21:45:55,"tuttoCompreso.py/ ✅ pulisciCartelle completato!
"
2025-12-10 21:45:55,tuttoCompreso.py/ 🚀 Avvio primoLancio()...
2025-12-10 21:45:55,navigazione.py/ 🚀 Leggo nuovaLetturaExcel.
2025-12-10 21:45:55,nuovaLetturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:45:55,navigazione.py/ ℹ️ Lunghezza della lista 'Ricerca': 2
2025-12-10 21:45:57,"navigazione.py/ ⚠️ Errore imprevisto: Message: session not created: This version of ChromeDriver only supports Chrome version 141
Current browser version is 143.0.7499.41 with binary path /Applications/Google Chrome.app/Contents/MacOS/Google Chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
0   chromedriver                        0x00000001026435f0 cxxbridge1$str$ptr + 2894960
1   chromedriver                        0x000000010263b52c cxxbridge1$str$ptr + 2861996
2   chromedriver                        0x00000001021615ec _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 74324
3   chromedriver                        0x000000010219a3c4 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 307244
4   chromedriver                        0x0000000102199558 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 303552
5   chromedriver                        0x000000010219506c _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 285908
6   chromedriver                        0x0000000102191fb8 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 273440
7   chromedriver                        0x00000001021d683c _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 554148
8   chromedriver                        0x00000001021d61ec _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 552532
9   chromedriver                        0x000000010219d178 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 318944
10  chromedriver                        0x000000010260733c cxxbridge1$str$ptr + 2648508
11  chromedriver                        0x000000010260a918 cxxbridge1$str$ptr + 2662296
12  chromedriver                        0x00000001025e7dbc cxxbridge1$str$ptr + 2520124
13  chromedriver                        0x000000010260b200 cxxbridge1$str$ptr + 2664576
14  chromedriver                        0x00000001025d952c cxxbridge1$str$ptr + 2460588
15  chromedriver                        0x000000010262abec cxxbridge1$str$ptr + 2794092
16  chromedriver                        0x000000010262ad70 cxxbridge1$str$ptr + 2794480
17  chromedriver                        0x000000010263b178 cxxbridge1$str$ptr + 2861048
18  libsystem_pthread.dylib             0x0000000180fbc2e4 _pthread_start + 136
19  libsystem_pthread.dylib             0x0000000180fb70fc thread_start + 8
"
