Orario,Log
2025-12-09 17:21:59,tuttoCompreso.py/ 🚀 Avvio pulisciCartelle()...
2025-12-09 17:21:59,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/PagineHtml
2025-12-09 17:21:59,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-09 17:21:59,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-09 17:21:59,"tuttoCompreso.py/ ✅ pulisciCartelle completato!
"
2025-12-09 17:21:59,tuttoCompreso.py/ 🚀 Avvio primoLancio()...
2025-12-09 17:21:59,navigazione.py/ 🚀 Leggo nuovaLetturaExcel.
2025-12-09 17:21:59,nuovaLetturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-09 17:21:59,navigazione.py/ ℹ️ Lunghezza della lista 'Ricerca': 2
2025-12-09 17:22:07,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-09 17:22:07,navigazione.py/ 🔎 Avvio ricerca 1 : Rapporto 1/2...
2025-12-09 17:22:10,navigazione.py/ 🔎 Clicco il tasto di ricerca
2025-12-09 17:22:18,navigazione.py/ Lancio Lettura Excel per ricerca
2025-12-09 17:22:18,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-09 17:22:18,navigazione.py/ 🔎 Ricerca da effettuare: -- test
2025-12-09 17:22:30,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-09 17:22:30,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
