Orario,Log
2025-12-10 21:47:27,tuttoCompreso.py/ 🚀 Avvio pulisciCartelle()...
2025-12-10 21:47:27,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/PagineHtml
2025-12-10 21:47:27,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:47:27,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-10 21:47:27,"tuttoCompreso.py/ ✅ pulisciCartelle completato!
"
2025-12-10 21:47:27,tuttoCompreso.py/ 🚀 Avvio primoLancio()...
2025-12-10 21:47:27,navigazione.py/ 🚀 Leggo nuovaLetturaExcel.
2025-12-10 21:47:27,nuovaLetturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:47:27,navigazione.py/ ℹ️ Lunghezza della lista 'Ricerca': 2
2025-12-10 21:47:35,"navigazione.py/ ⚠️ Errore imprevisto: Message: session not created: This version of ChromeDriver only supports Chrome version 141
Current browser version is 143.0.7499.41 with binary path /Applications/Google Chrome.app/Contents/MacOS/Google Chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
0   chromedriver                        0x000000010064b5f0 cxxbridge1$str$ptr + 2894960
1   chromedriver                        0x000000010064352c cxxbridge1$str$ptr + 2861996
2   chromedriver                        0x00000001001695ec _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 74324
3   chromedriver                        0x00000001001a23c4 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 307244
4   chromedriver                        0x00000001001a1558 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 303552
5   chromedriver                        0x000000010019d06c _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 285908
6   chromedriver                        0x0000000100199fb8 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 273440
7   chromedriver                        0x00000001001de83c _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 554148
8   chromedriver                        0x00000001001de1ec _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 552532
9   chromedriver                        0x00000001001a5178 _RNvCs47EqcsrPRmA_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 318944
10  chromedriver                        0x000000010060f33c cxxbridge1$str$ptr + 2648508
11  chromedriver                        0x0000000100612918 cxxbridge1$str$ptr + 2662296
12  chromedriver                        0x00000001005efdbc cxxbridge1$str$ptr + 2520124
13  chromedriver                        0x0000000100613200 cxxbridge1$str$ptr + 2664576
14  chromedriver                        0x00000001005e152c cxxbridge1$str$ptr + 2460588
15  chromedriver                        0x0000000100632bec cxxbridge1$str$ptr + 2794092
16  chromedriver                        0x0000000100632d70 cxxbridge1$str$ptr + 2794480
17  chromedriver                        0x0000000100643178 cxxbridge1$str$ptr + 2861048
18  libsystem_pthread.dylib             0x0000000180fbc2e4 _pthread_start + 136
19  libsystem_pthread.dylib             0x0000000180fb70fc thread_start + 8
"
